Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,population,GCAG_TEMP,GIS_TEMP,Sea_anomaly_temp,GMSL,CO2_Increase,CSIRO Adjusted Sea Level,Glacier_mass
1880,0.0,3.0,233.0,0.0,0.0,2785160851.0,-0.1148,-0.2,-0.47000879999999995,-158.7,,0.0,
1881,0.0,4.0,239.0,0.0,0.0,1374791585.0,-0.0628,-0.12,-0.3568788,-153.1,,0.22047244100000002,
1882,0.0,4.0,252.0,0.0,0.0,1384400649.0,-0.0648,-0.1,-0.3726612,-169.9,,-0.440944881,
1883,0.0,3.0,269.0,0.0,0.0,1394147464.0,-0.1424,-0.21,-0.44844300000000004,-164.6,,-0.232283464,
1884,0.0,4.0,271.0,0.0,0.0,1403721131.0,-0.2009,-0.28,-0.5897538,-143.7,,0.590551181,
1885,1.0,4.0,273.0,0.0,0.0,1413690018.0,-0.2125,-0.32,-0.6636546,-145.2,,0.531496062,
1886,2.0,5.0,275.0,0.0,0.0,1423814565.0,-0.2003,-0.31,-0.6439391999999999,-147.6,,0.43700787399999996,
1887,3.0,5.0,287.0,0.0,0.0,1433771474.0,-0.2489,-0.33,-0.7616232,-153.2,,0.216535433,
1888,5.0,5.0,317.0,0.0,0.0,1444147665.0,-0.1471,-0.2,-0.5166342,-151.1,,0.299212598,
1889,3.0,6.0,318.0,0.0,0.0,1454700382.0,-0.0982,-0.12,-0.47179259999999995,-149.5,,0.362204724,
1890,3.0,8.0,345.0,0.0,0.0,3004357657.0,-0.322,-0.37,-0.8875835999999999,-147.5,,0.440944881,
1891,2.0,9.0,360.0,0.0,0.0,1476337436.0,-0.2532,-0.24,-0.6603264,-149.2,,0.374015748,
1892,2.0,9.0,363.0,0.0,0.0,1487461877.0,-0.3062,-0.27,-0.8173098000000001,-146.0,,0.499999999,
1893,2.0,10.0,358.0,0.0,0.0,1498823572.0,-0.3212,-0.3,-0.8148276,-141.3,,0.6850393690000001,
