Year,Projected_Sea_tmp,LinRegress_Sea_tmp,Projected_Sea_Lvl,LinRegress_Sea_Lvl
1880,-0.47,-0.47,0.0,0.0
1890,-0.89,-0.89,0.44,0.44
1900,-0.48,-0.48,1.13,1.13
1910,-1.11,-1.11,1.27,1.27
1920,-0.72,-0.72,1.91,1.91
1930,-0.58,-0.58,2.06,2.06
1940,-0.18,-0.18,2.62,2.62
1950,-0.55,-0.55,3.6,3.6
1960,-0.3,-0.3,4.5,4.5
1970,-0.31,-0.31,4.68,4.68
1980,0.08,0.08,5.6,5.6
1990,0.27,0.27,6.23,6.23
2000,0.23,0.23,7.06,7.06
2010,0.61,0.61,8.9,8.9
2020,0.77,0.82,9.75,9.83
2030,0.99,1.05,10.98,11.12
2040,1.2,1.29,12.2,12.41
2050,1.42,1.52,13.43,13.7
2060,1.63,1.76,14.65,14.99
2070,1.84,1.99,15.88,16.28
2080,2.06,2.23,17.1,17.56
2090,2.27,2.46,18.33,18.85
2100,2.49,2.7,19.55,20.14
2110,2.7,2.93,20.78,21.43
2120,2.91,3.17,22.0,22.72
2130,3.13,3.4,23.23,24.01
2140,3.34,3.64,24.45,25.3
2150,3.56,3.87,25.68,26.59
2160,3.77,4.11,26.9,27.87
2170,3.99,4.34,28.13,29.16
2180,4.2,4.58,29.36,30.45
2190,4.41,4.81,30.58,31.74
2200,4.63,5.05,31.81,33.03
