Year,Category_1,Category_4,Category_2,Category_3,Hurricane_total
1880,4.0,4.0,4.0,1.0,13.0
1881,0.0,0.0,3.0,0.0,3.0
1882,1.0,0.0,0.0,3.0,4.0
1883,1.0,0.0,0.0,0.0,1.0
1884,3.0,0.0,1.0,1.0,5.0
1885,3.0,0.0,2.0,0.0,5.0
1886,1.0,2.0,1.0,0.0,4.0
1887,1.0,0.0,3.0,0.0,4.0
1888,2.0,0.0,2.0,0.0,4.0
1891,0.0,0.0,0.0,1.0,1.0
1893,1.0,0.0,2.0,7.0,10.0
1894,1.0,1.0,0.0,2.0,4.0
1896,1.0,0.0,1.0,4.0,6.0
1898,0.0,2.0,2.0,0.0,4.0
1899,0.0,2.0,1.0,1.0,4.0
1900,0.0,2.0,1.0,0.0,3.0
1901,1.0,0.0,0.0,0.0,1.0
1902,0.0,0.0,1.0,0.0,1.0
1903,5.0,0.0,1.0,1.0,7.0
1906,2.0,0.0,2.0,4.0,8.0
1908,2.0,0.0,0.0,0.0,2.0
1909,1.0,0.0,4.0,2.0,7.0
1910,0.0,2.0,0.0,2.0,4.0
1911,0.0,0.0,2.0,0.0,2.0
1912,0.0,0.0,0.0,1.0,1.0
1913,2.0,0.0,0.0,0.0,2.0
1915,2.0,4.0,1.0,1.0,8.0
1916,2.0,2.0,3.0,5.0,12.0
1917,0.0,1.0,0.0,2.0,3.0
1918,0.0,0.0,1.0,1.0,2.0
1919,0.0,3.0,0.0,4.0,7.0
1920,0.0,0.0,2.0,0.0,2.0
1921,0.0,2.0,3.0,3.0,8.0
1922,0.0,0.0,0.0,1.0,1.0
1923,1.0,0.0,0.0,0.0,1.0
1924,2.0,1.0,7.0,0.0,10.0
1926,1.0,3.0,4.0,7.0,15.0
1927,0.0,0.0,1.0,1.0,2.0
1928,4.0,4.0,3.0,0.0,11.0
1929,4.0,2.0,0.0,2.0,8.0
1930,0.0,1.0,0.0,0.0,1.0
1931,1.0,0.0,0.0,0.0,1.0
1932,3.0,4.0,0.0,2.0,9.0
1933,4.0,2.0,8.0,8.0,22.0
1934,2.0,0.0,3.0,0.0,5.0
1935,1.0,2.0,3.0,1.0,7.0
1936,3.0,0.0,6.0,0.0,9.0
1937,0.0,0.0,2.0,2.0,4.0
1938,1.0,0.0,0.0,4.0,5.0
1939,1.0,0.0,0.0,0.0,1.0
1940,2.0,0.0,5.0,0.0,7.0
1941,3.0,0.0,0.0,1.0,4.0
1942,0.0,0.0,1.0,2.0,3.0
1943,1.0,0.0,1.0,0.0,2.0
1944,2.0,1.0,6.0,6.0,15.0
1945,6.0,0.0,3.0,5.0,14.0
1946,3.0,0.0,4.0,0.0,7.0
1947,6.0,1.0,9.0,9.0,25.0
1948,4.0,2.0,3.0,3.0,12.0
1949,9.0,0.0,6.0,2.0,17.0
1950,23.0,1.0,12.0,10.0,46.0
1951,18.0,1.0,11.0,1.0,31.0
1952,11.0,2.0,4.0,2.0,19.0
1953,8.0,2.0,6.0,3.0,19.0
1954,11.0,2.0,6.0,10.0,29.0
1955,28.0,5.0,23.0,13.0,69.0
1956,4.0,0.0,10.0,2.0,16.0
1957,13.0,1.0,16.0,5.0,35.0
1958,14.0,4.0,23.0,15.0,56.0
1959,14.0,1.0,7.0,10.0,32.0
1960,8.0,8.0,12.0,19.0,47.0
1961,15.0,23.0,25.0,41.0,104.0
1962,12.0,0.0,9.0,1.0,22.0
1963,42.0,3.0,29.0,10.0,84.0
1964,33.0,7.0,32.0,27.0,99.0
1965,28.0,2.0,4.0,22.0,56.0
