,Source,Year,Mean
13,GISTEMP,2010,0.71
15,GISTEMP,2009,0.64
17,GISTEMP,2008,0.54
19,GISTEMP,2007,0.66
21,GISTEMP,2006,0.63
23,GISTEMP,2005,0.69
25,GISTEMP,2004,0.55
27,GISTEMP,2003,0.62
29,GISTEMP,2002,0.63
31,GISTEMP,2001,0.55
33,GISTEMP,2000,0.42
35,GISTEMP,1999,0.42
37,GISTEMP,1998,0.64
39,GISTEMP,1997,0.48
41,GISTEMP,1996,0.35
43,GISTEMP,1995,0.46
45,GISTEMP,1994,0.32
47,GISTEMP,1993,0.24
49,GISTEMP,1992,0.23
51,GISTEMP,1991,0.43
53,GISTEMP,1990,0.44
55,GISTEMP,1989,0.29
57,GISTEMP,1988,0.41
59,GISTEMP,1987,0.33
61,GISTEMP,1986,0.19
63,GISTEMP,1985,0.12
65,GISTEMP,1984,0.15
67,GISTEMP,1983,0.3
69,GISTEMP,1982,0.13
71,GISTEMP,1981,0.33
73,GISTEMP,1980,0.27
75,GISTEMP,1979,0.17
77,GISTEMP,1978,0.07
79,GISTEMP,1977,0.18
81,GISTEMP,1976,-0.11
83,GISTEMP,1975,-0.02
85,GISTEMP,1974,-0.07
87,GISTEMP,1973,0.15
89,GISTEMP,1972,0.01
91,GISTEMP,1971,-0.09
93,GISTEMP,1970,0.02
95,GISTEMP,1969,0.07
97,GISTEMP,1968,-0.07
99,GISTEMP,1967,-0.02
101,GISTEMP,1966,-0.05
103,GISTEMP,1965,-0.1
105,GISTEMP,1964,-0.2
107,GISTEMP,1963,0.06
109,GISTEMP,1962,0.03
111,GISTEMP,1961,0.05
113,GISTEMP,1960,-0.02
115,GISTEMP,1959,0.03
