Entity,Year,Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from wind (TWh)
North America,1965,325.93,13.33,0.0,0.0
North America,1966,341.05,14.06,0.0,0.0
North America,1967,372.16,14.07,0.0,0.0
North America,1968,377.0,15.55,0.0,0.0
North America,1969,420.07,16.23,0.0,0.0
North America,1970,426.63,16.24,0.0,0.0
North America,1971,449.29,16.58,0.0,0.0
North America,1972,475.89,18.67,0.0,0.0
North America,1973,489.24,20.15,0.0,0.0
North America,1974,534.66,20.87,0.0,0.0
North America,1975,523.87,20.27,0.0,0.0
North America,1976,519.77,23.85,0.0,0.0
North America,1977,465.2,25.2,0.0,0.0
North America,1978,537.8,26.41,0.0,0.0
North America,1979,548.06,28.12,0.0,0.0
North America,1980,550.06,28.87,0.0,0.0
North America,1981,557.14,30.24,0.0,0.0
North America,1982,596.25,29.84,0.0,0.0
North America,1983,625.36,33.24,0.0,0.0
North America,1984,637.31,39.36,0.01,0.01
North America,1985,619.25,39.71,0.01,0.01
North America,1986,628.91,43.96,0.01,0.01
North America,1987,590.9,49.4,0.01,0.0
North America,1988,557.66,49.51,0.01,0.0
North America,1989,590.53,57.01,0.25,2.13
North America,1990,612.45,66.54,0.37,2.82
North America,1991,617.23,70.37,0.48,2.98
North America,1992,593.41,75.65,0.41,2.98
North America,1993,628.12,78.24,0.48,3.1
North America,1994,607.47,78.31,0.51,3.55
North America,1995,672.88,76.82,0.52,3.26
North America,1996,733.48,78.54,0.55,3.33
North America,1997,731.01,79.87,0.55,3.4
North America,1998,677.55,80.74,0.54,3.13
North America,1999,694.32,81.48,0.54,4.71
North America,2000,662.6,81.86,0.54,5.93
North America,2001,570.2,82.75,0.6,7.15
North America,2002,632.3,87.91,0.63,10.88
North America,2003,625.96,87.7,0.64,12.01
North America,2004,626.13,89.01,0.72,15.25
North America,2005,656.09,89.89,0.78,19.56
North America,2006,668.88,89.51,0.86,29.35
North America,2007,638.01,91.11,1.13,38.02
North America,2008,667.77,89.43,1.69,59.97
North America,2009,666.94,89.65,2.21,81.87
North America,2010,645.82,92.81,3.3,105.57
North America,2011,728.09,93.36,5.35,133.23
North America,2012,686.21,94.71,9.99,157.24
North America,2013,686.36,99.02,17.64,184.87
North America,2014,677.14,101.0,31.56,202.73
North America,2015,659.54,101.16,42.57,228.36
North America,2016,679.89,101.41,58.94,270.6
North America,2017,723.24,101.38,82.82,299.0
North America,2018,707.88,98.95,101.34,321.68
North America,2019,676.93,96.9,125.11,354.87
Africa,1965,13.91,0.0,0.0,0.0
Africa,1966,15.51,0.0,0.0,0.0
Africa,1967,16.19,0.0,0.0,0.0
Africa,1968,18.94,0.0,0.0,0.0
Africa,1969,22.1,0.0,0.0,0.0
Africa,1970,27.63,0.0,0.0,0.0
Africa,1971,26.01,0.16,0.0,0.0
Africa,1972,29.63,0.16,0.0,0.0
Africa,1973,31.35,0.17,0.0,0.0
Africa,1974,35.67,0.18,0.0,0.0
Africa,1975,37.72,0.17,0.0,0.0
Africa,1976,41.8,0.18,0.0,0.0
Africa,1977,45.93,0.19,0.0,0.0
Africa,1978,46.31,0.2,0.0,0.0
Africa,1979,49.57,0.2,0.0,0.0
Africa,1980,48.31,0.21,0.0,0.0
Africa,1981,50.19,0.22,0.0,0.0
Africa,1982,50.21,0.24,0.0,0.0
Africa,1983,45.25,0.23,0.0,0.0
Africa,1984,44.49,0.23,0.0,0.0
Africa,1985,49.45,0.27,0.0,0.0
Africa,1986,51.15,0.66,0.0,0.0
Africa,1987,49.06,0.66,0.0,0.0
Africa,1988,53.59,0.63,0.0,0.0
Africa,1989,56.28,0.62,0.0,0.0
Africa,1990,57.25,0.77,0.0,0.0
Africa,1991,60.65,0.79,0.0,0.0
Africa,1992,57.86,0.82,0.0,0.0
Africa,1993,56.68,0.92,0.0,0.0
Africa,1994,57.6,0.82,0.0,0.01
Africa,1995,59.77,1.02,0.0,0.01
Africa,1996,62.32,1.26,0.0,0.01
Africa,1997,63.85,1.39,0.0,0.01
Africa,1998,66.65,1.71,0.0,0.01
Africa,1999,70.68,1.7,0.0,0.02
Africa,2000,75.25,2.27,0.01,0.18
Africa,2001,80.86,2.34,0.02,0.42
Africa,2002,85.18,2.29,0.02,0.44
Africa,2003,82.87,2.62,0.02,0.54
Africa,2004,87.41,2.98,0.03,0.77
Africa,2005,89.07,3.01,0.03,0.78
Africa,2006,92.24,3.78,0.04,0.85
