Year,easing,maintaining,increase,CO2_concentrations
1018,,,,279.8
1019,,,,280.06
1040,,,,280.92
1049,,,,280.97
1070,,,,282.84
1099,,,,283.09
1116,,,,282.84
1146,,,,284.51
1166,,,,283.97
1200,,,,284.54
1211,,,,283.69
1251,,,,282.41
1260,,,,282.2
1278,,,,278.43
1307,,,,281.58
1330,,,,284.07
1349,,,,278.36
1390,,,,280.91
1411,,,,279.7
1429,,,,279.73
1449,,,,282.23
1469,,,,280.31
1502,,,,283.12
1530,,,,283.95
1550,,,,283.53
1560,,,,281.83
1573,,,,282.57
1588,,,,281.11
1591,,,,279.36
1603,,,,275.07
1609,,,,271.11
1629,,,,273.78
1640,,,,276.69
1649,,,,278.02
1682,,,,276.66
1690,,,,276.32
1694,,,,277.36
1723,,,,277.64
1734,,,,278.31
1741,,,,276.81
1749,,,,277.6
1752,,,,277.23
1763,,,,277.16
1764,,,,276.4
1773,,,,277.86
1779,,,,280.24
1780,,,,273.07
1794,,,,281.62
1796,,,,281.35
1799,,,,282.8
1814,,,,284.43
1825,,,,281.36
1827,,,,285.91
1833,,,,284.45
1837,,,,284.15
1841,,,,283.65
1843,,,,281.58
1844,,,,283.53
1845,,,,283.18
1846,,,,283.62
1847,,,,286.84
1850,,,,284.0
1851,,,,287.13
1854,,,,288.05
1855,,,,285.57
1857,,,,283.16
1859,,,,286.63
1862,,,,287.17
1863,,,,285.35
1864,,,,286.65
1867,,,,285.05
1868,,,,288.76
1870,,,,287.16
1873,,,,286.66
1874,,,,291.56
1877,,,,289.33
1880,,,,287.77
1883,,,,292.46
1884,,,,289.49
1886,,,,288.12
1887,,,,294.34
1889,,,,292.34
1890,,,,290.92
1892,,,,295.17
1893,,,,295.09
1894,,,,293.49
1899,,,,296.16
1900,,,,294.22
1902,,,,295.61
1904,,,,295.99
1905,,,,299.02
1906,,,,298.48
1909,,,,301.5
1910,,,,297.87
1911,,,,298.36
1913,,,,301.3
1914,,,,300.7
1916,,,,301.92
1918,,,,303.85
1919,,,,304.61
1920,,,,301.88
1923,,,,304.69
1925,,,,304.84
1928,,,,306.84
1929,,,,305.62
1931,,,,305.74
1932,,,,308.26
1933,,,,307.11
1934,,,,308.35
1935,,,,306.32
1936,,,,308.3
1937,,,,307.41
1938,,,,311.07
1939,,,,310.83
1940,,,,310.38
1941,,,,309.77
1942,,,,312.37
1944,,,,312.36
1945,,,,310.94
1946,,,,312.26
1947,,,,311.61
1948,,,,311.57
1949,,,,309.69
1950,,,,312.83
1952,,,,312.18
1954,,,,312.73
1955,,,,314.71
1956,,,,315.34
1957,,,,315.34
1958,,,,315.34
1959,,,,315.97
1960,,,,316.91
1961,,,,317.64
1962,,,,318.45
1963,,,,318.99
1964,,,,319.62
1965,,,,320.04
1966,,,,321.38
1967,,,,322.16
1968,,,,323.04
1969,,,,324.62
1970,,,,325.68
1971,,,,326.32
1972,,,,327.45
1973,,,,329.68
1974,,,,330.18
1975,,,,331.11
1976,,,,332.04
1977,,,,333.83
1978,,,,335.4
1979,,,,336.84
1980,,,,338.75
1981,,,,340.11
1982,,,,341.45
1983,,,,343.05
1984,,,,344.65
1985,,,,346.12
1986,,,,347.42
1987,,,,349.19
1988,,,,351.57
1989,,,,353.12
1990,,,,354.39
1991,,,,355.61
1992,,,,356.45
1993,,,,357.1
1994,,,,358.83
1995,,,,360.82
1996,,,,362.61
1997,,,,363.73
1998,,,,366.7
1999,,,,368.38
2000,,,,369.55
2001,,,,371.14
2002,,,,373.28
2003,,,,375.8
2004,,,,377.52
2005,,,,379.8
2006,,,,381.9
2007,,,,383.79
2008,,,,385.6
2009,,,,387.43
2010,,,,389.9
2011,387.83090835966317,389.64707072661383,391.4632330935646,
2012,387.8200764096737,391.45329883894686,395.0883383337012,
2013,387.80834766449135,393.2595269512799,398.716160143853,
2014,387.79572302361925,395.0657550636129,402.3467003343157,
2015,387.78220338588517,396.8719831759457,405.979960716513,
2016,387.7677896494428,398.6782112882788,409.6159431030014,
2017,387.75248271177,400.4844394006118,413.25464930747,
2018,387.73628346967115,402.2906675129448,416.8960811447413,
2019,387.7191928192784,404.0968956252778,420.5402404307725,
2020,387.7012116560493,405.9031237376109,424.1871289826532,
2021,387.6823408747693,407.70935184994386,427.83674861861016,
2022,387.6625813695517,409.51557996227683,431.4891011580046,
2023,387.64193403383837,411.32180807461,435.14418842133597,
2024,387.6203997603998,413.1280361869429,438.8020122302395,
2025,387.5979794413354,414.934264299276,442.46257440748855,
2026,387.5746739680738,416.7404924116091,446.12587677699634,
2027,387.55048423137566,418.5467205239421,449.7919211638144,
