Year,easing,maintaining,increase
2011,387.8309083596631,389.64707072661383,391.4632330935646
2012,387.8200764096737,391.4532988389468,395.0883383337012
2013,387.8083476644914,393.2595269512799,398.716160143853
2014,387.79572302361925,395.0657550636129,402.34670033431576
2015,387.78220338588534,396.87198317594573,405.979960716513
2016,387.76778964944276,398.67821128827876,409.61594310300137
2017,387.75248271176997,400.4844394006118,413.25464930747
2018,387.73628346967115,402.2906675129448,416.8960811447414
2019,387.7191928192784,404.09689562527785,420.54024043077254
2020,387.7012116560493,405.90312373761094,424.18712898265323
2021,387.6823408747692,407.70935184994386,427.83674861861005
2022,387.66258136955173,409.51557996227695,431.4891011580046
2023,387.64193403383837,411.32180807461,435.144188421336
2024,387.6203997603998,413.12803618694295,438.8020122302395
2025,387.5979794413354,414.934264299276,442.46257440748855
2026,387.57467396807385,416.7404924116091,446.1258767769963
2027,387.5504842313756,418.5467205239421,449.79192116381444
2028,387.5254111213298,420.3529486362751,453.4607093941344
2029,387.4994555273571,422.15917674860793,457.1322432952886
2030,387.4726183382092,423.9654048609416,460.80652469575057
2031,387.4449004419712,425.7716329732747,464.4835554251357
2032,387.41630272605926,427.5778610856077,468.1633373142042
2033,387.386826077222,429.38408919794074,471.84587219485707
2034,387.3564713815425,431.19031731027377,475.53116190014
2035,387.32523952443586,432.99654542260674,479.21920826424434
2036,387.2931313906531,434.8027735349398,482.91001312250705
2037,387.2601478642785,436.6090016472728,486.60357831140965
2038,387.22628982873135,438.41522975960584,490.29990566858305
2039,387.1915581667672,440.22145787193887,493.99899703280255
2040,387.155953760477,442.0276859842719,497.7008542439935
2041,387.11947749128717,443.8339140966049,501.4054791432311
2042,387.0821302399625,445.64014220893773,505.1128735727391
2043,387.04391288660463,447.4463703212708,508.8230393758904
2044,387.00482631065086,449.25259843360374,512.5359783972112
2045,386.96487139088,451.0588265459369,516.251692482378
2046,386.9240490054059,452.86505465826986,519.9701834782187
2047,386.8823600316835,454.67128277060283,523.6914532327164
2048,386.8398053465065,456.4775108829359,527.4155035950073
2049,386.79638582600944,458.283738995269,531.1423364153818
2050,386.75210234566526,460.089967107602,534.871953545284
2051,386.7069557802895,461.89619521993507,538.6043568373168
2052,386.66094700403704,463.7024233322681,542.3395481452374
2053,386.6140768904063,465.508651444601,546.0775293239602
2054,386.56634631223693,467.3148795569341,549.8183022295593
2055,386.5177561417106,469.12110766926696,553.561868719266
2056,386.4683072503526,470.9273357815999,557.3082306514711
2057,386.4180005090312,472.7335638939329,561.0573898857256
2058,386.366836787959,474.539792006266,564.8093482827403
2059,386.3148169566908,476.346020118599,568.5641077043892
2060,386.26194188412967,478.15224823093206,572.3216700137066
2061,386.2082124385208,479.95847634326515,576.0820370748909
2062,386.15362948745656,481.764704455598,579.8452107533026
2063,386.09819389787447,483.5709325679311,583.6111929154682
2064,386.0419065360585,485.37716068026407,587.3799854290769
2065,385.9847682676402,487.18338879259716,591.1515901629859
2066,385.9267799575981,488.98961690493024,594.9260089872159
2067,385.8679424702583,490.79584501726384,598.7032437729573
2068,385.80825666929513,492.60207312959676,602.4832963925669
2069,385.7477234177312,494.4083012419298,606.266168719568
2070,385.6863435779391,496.2145293542628,610.0518626286571
2071,385.6241180116402,498.0207574665958,613.8403799956974
2072,385.56104757990545,499.8269855789289,617.6317226977237
2073,385.4971331431568,501.6332136912618,621.425892612941
2074,385.43237556116765,503.43944180359483,625.2228916207262
2075,385.3667756930615,505.2456699159279,629.0227216016303
2076,385.3003343973142,507.0518980282609,632.8253844373771
2077,385.2330525317519,508.858126140594,636.6308820108632
2078,385.1649309535565,510.66435425292707,640.4392162061614
2079,385.0959705192597,512.47058236526,644.2503889085185
2080,385.02617208474913,514.276810477593,648.064402004358
2081,384.95553650526426,516.083038589926,651.8812573812802
2082,384.8840646354014,517.8892667022589,655.7009569280626
2083,384.8117573291072,519.6954948145919,659.5235025346626
2084,384.73861543968826,521.5017229269249,663.3488960922132
2085,384.6646398198028,523.3079510392579,667.1771394930305
2086,384.5898313214676,525.1141791515911,671.0082346306087
2087,384.514190796055,526.9204072639241,674.8421833996247
2088,384.43771909429444,528.726635376257,678.6789876959338
2089,384.36041706627265,530.53286348859,682.518649416578
2090,384.2822855614328,532.3390916009231,686.3611704597804
2091,384.20332542857733,534.1453197132561,690.2065527249479
2092,384.12353751586795,535.9515478255892,694.0547981126717
2093,384.04292267082417,537.7577759379221,697.9059085247293
2094,383.9614817403252,539.5640040502552,701.7598858640839
2095,383.8792155706102,541.3702321625881,705.6167320348843
2096,383.79612500727944,543.176460274921,709.4764489424688
2097,383.7122108952918,544.982688387254,713.3390384933616
2098,383.6274740789688,546.7889164995872,717.2045025952784
2099,383.5419154019938,548.5951446119201,721.072843157121
2100,383.4555357074113,550.4013727242532,724.9440620889834
2101,383.36833583762893,552.2076008365862,728.818161302152
2102,383.280316634417,554.0138289489191,732.6951427091027
2103,383.1914789389081,555.820057061253,736.5750082235038
2104,383.10182359159955,557.626285173586,740.4577597602175
2105,383.0113514323524,559.432513285919,744.3433992353008
2106,382.9200633003932,561.238741398252,748.2319285660027
2107,382.82796003431247,563.0449695105851,752.1233496707705
2108,382.73504247206637,564.8511976229179,756.0176644692447
2109,382.64131145097576,566.6574257352509,759.9148748822643
2110,382.5467678077307,568.4636538475838,763.8149828318647
2111,382.4514123783851,570.2698819599169,767.7179902412805
2112,382.3552459983608,572.07611007225,771.6238990349436
2113,382.2582695024478,573.8823381845831,775.5327111384875
2114,382.1604837248037,575.688566296916,779.4444284787442
2115,382.06188949895414,577.4947944092492,783.3590529837472
2116,381.96248765779285,579.301022521582,787.276586582733
2117,381.86227903358554,581.107250633915,791.197031206139
2118,381.7612644579642,582.9134787462482,795.1203887856052
2119,381.65944476193386,584.719706858581,799.0466612539777
2120,381.5568207758665,586.5259349709142,802.9758505453053
2121,381.4533933295092,588.3321630832472,806.9079585948431
2122,381.34916325197696,590.13839119558,810.8429873390521
2123,381.24413137175816,591.9446193079132,814.7809387156001
2124,381.138298516712,593.7508474202461,818.7218146633612
2125,381.031665514073,595.5570755325791,822.6656171224207
2126,380.9242331904466,597.3633036449121,826.6123480340696
2127,380.81600237181124,599.1695317572452,830.5620093408095
2128,380.7069738835202,600.9757598695783,834.5146029863536
2129,380.59714855030114,602.7819879819112,838.4701309156253
2130,380.48652719625613,604.5882160942443,842.4285950747598
2131,380.37511064486245,606.3944442065773,846.3899974111047
2132,380.2628997189728,608.2006723189103,850.3543398732215
2133,380.149895240815,610.0069004312434,854.3216244108852
2134,380.0360980319946,611.8131285435763,858.2918529750862
2135,379.92150891349354,613.6193566559092,862.2650275180285
2136,379.8061287056714,615.4255847682423,866.241149993135
2137,379.6899582282633,617.2318128805753,870.2202223550441
2138,379.57299830038505,619.0380409929083,874.2022465596123
2139,379.4552497405292,620.8442691052413,878.1872245639132
2140,379.3367133665679,622.650497217575,882.1751583262405
2141,379.2173899957527,624.4567253299081,886.166049806109
2142,379.0972804447134,626.262953442241,890.159900964252
2143,378.9763855294618,628.069181554574,894.1567137626251
2144,378.85470606538956,629.8754096669072,898.1564901644053
2145,378.73224286726986,631.6816377792401,902.1592321339925
2146,378.60899674925537,633.4878658915732,906.1649416370117
2147,378.48496852488296,635.2940940039061,910.1736206403091
2148,378.36015900706985,637.100322116239,914.1852711119594
2149,378.23456900811595,638.9065502285721,918.1998950212597
2150,378.10819933970606,640.7127783409051,922.217494338736
2151,377.98105081290635,642.519006453238,926.2380710361406
2152,377.853124238168,644.3252345655711,930.2616270864528
2153,377.7244204253259,646.1314626779042,934.2881644638821
2154,377.5949401835995,647.9376907902371,938.3176851438661
2155,377.46468432159406,649.7439189025702,942.3501911030735
2156,377.33365364730014,651.5501470149032,946.3856843194028
2157,377.2018489680929,653.3563751272363,950.4241667719842
2158,377.069271090736,655.1626032395693,954.465640441183
2159,376.9359208213789,656.9688313519023,958.5101073085923
2160,376.80179896555654,658.7750594642353,962.5575693570431
2161,376.66690632819456,660.5812875765682,966.6080285706
2162,376.53124371360417,662.3875156889012,970.6614869345616
2163,376.39481192548624,664.1937438012342,974.7179464354651
2164,376.2576117669297,665.9999719135673,978.7774090610824
2165,376.11964404041333,667.8062000259004,982.8398768004222
2166,375.9809095478037,669.6124281382333,986.9053516437331
2167,375.8414090903605,671.4186562505664,990.9738355825025
2168,375.7011434687313,673.2248843628993,995.0453306094571
2169,375.56011348295607,675.0311124752324,999.1198387185635
2170,375.41831993246456,676.8373405875654,1003.1973619050308
2171,375.27576361607976,678.6435686998984,1007.2779021653096
2172,375.1324453320152,680.4497968122314,1011.3614614970916
2173,374.9883658778786,682.2560249245645,1015.4480418993148
2174,374.8435260506688,684.0622530368976,1019.5376453721587
2175,374.6979266467783,685.8684811492303,1023.6302739170494
2176,374.55156846199486,687.674709261564,1027.7259295366582
2177,374.4044522914992,689.480937373897,1031.8246142349008
2178,374.2565789298656,691.28716548623,1035.9263300169448
2179,374.10794917106506,693.0933935985631,1040.031078889201
2180,373.9585638084622,694.8996217108961,1044.1388628593315
2181,373.8084236348195,696.7058498232292,1048.2496839362457
2182,373.6575294422938,698.5120779355623,1052.3635441301058
2183,373.50588202243864,700.3183060478952,1056.4804454523232
2184,373.35348216620457,702.1245341602282,1060.6003899155612
2185,373.2003306639415,703.9307622725612,1064.723379533735
2186,373.0464283053934,705.7369903848943,1068.8494163220137
2187,372.891775879706,707.5432184972274,1072.9785022968204
2188,372.7363741754212,709.3494466095602,1077.110639475832
2189,372.58022398048115,711.1556747218932,1081.2458298779807
2190,372.42332608222637,712.9619028342261,1085.3840755234569
2191,372.26568126739835,714.7681309465593,1089.5253784337037
2192,372.10729032213766,716.5743590588922,1093.6697406314274
2193,371.9481540319863,718.3805871712253,1097.8171641405875
2194,371.78827318188667,720.1868152835583,1101.9676509864062
2195,371.62764855618303,721.9930433958914,1106.1212031953637
2196,371.46628093862034,723.7992715082244,1110.2778227952022
2197,371.30417111234806,725.6054996205575,1114.4375118149233
2198,371.14131985991594,727.4117277328905,1118.6002722847934
2199,370.97772796327723,729.2179558452235,1122.7661062363386
2200,370.813396203789,731.0241839575566,1126.9350157023516
2201,370.6483253622133,732.8304120698893,1131.1070027168894
