,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
0,2011,1643.866253383465,3177.585377819545,3530.0794879699242,403.76314022556835,65.16140037593959
1,2012,1643.6736910661784,3177.366938221792,3529.605400320317,403.67621979774776,65.15046599624065
2,2013,1643.4651861936945,3177.130413645704,3529.09206216404,403.5821030828447,65.1386263410227
3,2014,1643.2407547567345,3176.8758222308243,3528.539512870135,403.48079729887104,65.12588231829432
4,2015,1643.0004127339635,3176.6031821031356,3527.947791778075,403.372309658429,65.11223483538288
5,2016,1642.744176092092,3176.312511375014,3527.316938197793,403.2566473686966,65.097684798935
6,2017,1642.472060785818,3176.0038281452,3526.6469914097106,403.1338176314457,65.08223311491611
7,2018,1642.1840827578708,3175.6771504988574,3525.9379906647373,403.0038276430423,65.06588068861129
8,2019,1641.8802579389958,3175.3324965076026,3525.1899751843303,402.86668459444263,65.04862842462535
9,2020,1641.5606022479697,3174.9698842294456,3524.4029841604643,402.72239567120414,65.03047722688507
10,2021,1641.2251315916365,3174.589331708805,3523.57705675569,402.5709680534892,65.01142799863555
11,2022,1640.8738618648713,3174.190856976609,3522.7122321031347,402.41240891606503,64.99148164244662
12,2023,1640.5068089506094,3173.774478050196,3521.80854930653,402.24672542830376,64.97063906020776
13,2024,1640.1239887198535,3173.34021293337,3520.8660474402423,402.07392475420056,64.94890115313228
14,2025,1639.7254170316883,3172.8880796164303,3519.8847655492427,401.89401405236276,64.926268821755
15,2026,1639.311109733273,3172.418096076144,3518.864742649166,401.70700047601713,64.90274296593498
16,2027,1638.8810826598638,3171.9302802757447,3517.806017726398,401.51289117300985,64.8783244848546
17,2028,1638.4353516348128,3171.4246501650196,3516.7086297379283,401.311693285832,64.85301427702097
18,2029,1637.9739324695765,3170.9012236802228,3515.5726176114986,401.10341395158684,64.82681324026498
19,2030,1637.4968409637295,3170.3600187441334,3514.3980202455714,400.88806030201886,64.79972227174312
20,2031,1637.0040929049574,3169.801053266041,3513.1848765094473,400.6656394635211,64.7717422679375
21,2032,1636.4957040691006,3169.224345141818,3511.9332252431195,400.43615855711687,64.74287412465628
22,2033,1635.9716902201108,3168.6299122538476,3510.64310525739,400.1996246984818,64.71311873703462
23,2034,1635.4320671101013,3168.017772471052,3509.3145553339273,399.95604499793626,64.68247699953281
24,2035,1634.876850479348,3167.387943648937,3507.9476142251515,399.70542656045654,64.65094980593949
25,2036,1634.3060560562662,3166.7404436295765,3506.5423206544365,399.4477764856747,64.61853804937209
26,2037,1633.7196995574486,3166.075290241657,3505.098713315936,399.1831018678786,64.58524262227456
27,2038,1633.1177966876858,3165.39250130039,3503.6168308747583,398.9114097960264,64.55106441642147
28,2039,1632.5003631399304,3164.692094607628,3502.0967119669076,398.63270735374317,64.51600432291389
29,2040,1631.8674145953264,3163.9740879518067,3500.5383951993426,398.3470016193205,64.48006323218533
30,2041,1631.2189667232378,3163.238499108018,3498.941919149889,398.0542996657241,64.4432420339972
