,Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,GCAG,GISTEMP
129,1880,236,0,3,233,0,0,-0.1148,-0.2
130,1881,243,0,4,239,0,0,-0.0628,-0.12
131,1882,256,0,4,252,0,0,-0.0648,-0.1
132,1883,272,0,3,269,0,0,-0.1424,-0.21
133,1884,275,0,4,271,0,0,-0.2009,-0.28
134,1885,277,1,4,273,0,0,-0.2125,-0.32
135,1886,281,2,5,275,0,0,-0.2003,-0.31
136,1887,295,3,5,287,0,0,-0.2489,-0.33
137,1888,327,5,5,317,0,0,-0.1471,-0.2
138,1889,327,3,6,318,0,0,-0.0982,-0.12
139,1890,356,3,8,345,0,0,-0.322,-0.37
140,1891,372,2,9,360,0,0,-0.2532,-0.24
141,1892,374,2,9,363,0,0,-0.3062,-0.27
142,1893,370,2,10,358,0,0,-0.3212,-0.3
143,1894,383,2,9,372,0,0,-0.2808,-0.31
144,1895,406,2,11,393,0,0,-0.229,-0.21
145,1896,419,2,12,405,0,0,-0.0974,-0.15
146,1897,440,2,13,425,0,0,-0.1224,-0.11
147,1898,465,2,13,449,0,0,-0.2546,-0.28
148,1899,507,3,14,491,0,0,-0.1173,-0.16
149,1900,534,3,16,515,0,0,-0.0679,-0.09
150,1901,552,4,18,531,0,0,-0.1417,-0.15
151,1902,566,4,19,543,0,0,-0.2463,-0.27
152,1903,617,4,20,593,0,0,-0.3369,-0.35
153,1904,624,4,23,597,0,0,-0.4194,-0.44
154,1905,663,5,23,636,0,0,-0.2931,-0.28
155,1906,707,5,23,680,0,0,-0.2174,-0.23
156,1907,784,5,28,750,0,0,-0.3706,-0.4
157,1908,750,5,30,714,0,0,-0.4396,-0.43
158,1909,785,6,32,747,0,0,-0.4261,-0.47
159,1910,819,7,34,778,0,0,-0.3789,-0.42
160,1911,836,7,36,792,0,0,-0.4332,-0.44
161,1912,879,8,37,834,0,0,-0.3288,-0.35
162,1913,943,8,41,895,0,0,-0.3162,-0.34
163,1914,850,8,42,800,0,0,-0.1395,-0.16
164,1915,838,9,45,784,0,0,-0.0693,-0.11
165,1916,901,10,48,842,0,0,-0.293,-0.34
166,1917,955,11,54,891,0,0,-0.3146,-0.4
167,1918,936,10,53,873,0,0,-0.2084,-0.26
168,1919,806,10,61,735,0,0,-0.2055,-0.22
169,1920,932,11,78,843,0,0,-0.2105,-0.27
170,1921,803,10,84,709,0,0,-0.1485,-0.21
171,1922,845,11,94,740,0,0,-0.2304,-0.28
172,1923,970,14,111,845,0,0,-0.2156,-0.24
173,1924,963,16,110,836,0,0,-0.2486,-0.28
174,1925,975,17,116,842,0,0,-0.1481,-0.21
175,1926,983,19,119,846,0,0,-0.0667,-0.1
176,1927,1062,21,136,905,0,0,-0.1546,-0.21
177,1928,1065,23,143,890,10,0,-0.1774,-0.21
178,1929,1145,28,160,947,10,0,-0.2985,-0.36
179,1930,1053,28,152,862,10,0,-0.1003,-0.15
180,1931,940,25,147,759,8,0,-0.0686,-0.09
181,1932,847,24,141,675,7,0,-0.1168,-0.17
182,1933,893,25,154,708,7,0,-0.2439,-0.29
183,1934,973,28,162,775,8,0,-0.1015,-0.14
184,1935,1027,30,176,811,9,0,-0.1392,-0.2
185,1936,1130,34,192,893,11,0,-0.1134,-0.15
186,1937,1209,38,219,941,11,0,-0.0157,-0.03
187,1938,1142,37,214,880,12,0,-0.0288,-0.03
188,1939,1192,38,222,918,13,0,-0.0139,-0.03
189,1940,1299,42,229,1017,11,0,0.0947,0.08
190,1941,1334,42,236,1043,12,0,0.196,0.12
191,1942,1342,45,222,1063,11,0,0.1538,0.09
192,1943,1391,50,239,1092,10,0,0.157,0.13
