,Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita
208,1959,2454,206,789,1382,40,36,0.83
209,1960,2569,227,849,1410,43,39,0.85
210,1961,2580,240,904,1349,45,42,0.84
211,1962,2686,263,980,1351,49,44,0.86
212,1963,2833,286,1052,1396,51,47,0.88
213,1964,2995,316,1137,1435,57,51,0.92
214,1965,3130,337,1219,1460,59,55,0.94
215,1966,3288,364,1323,1478,63,60,0.97
216,1967,3393,392,1423,1448,65,66,0.98
217,1968,3566,424,1551,1448,70,73,1.01
218,1969,3780,467,1673,1486,74,80,1.05
219,1970,4053,493,1839,1556,78,87,1.1
220,1971,4208,530,1947,1559,84,88,1.12
221,1972,4376,560,2057,1576,89,94,1.14
222,1973,4614,588,2241,1581,95,110,1.18
223,1974,4623,597,2245,1579,96,107,1.16
224,1975,4596,604,2132,1673,95,92,1.13
225,1976,4864,630,2314,1710,103,108,1.18
226,1977,5026,650,2398,1765,108,104,1.19
227,1978,5087,680,2392,1793,116,106,1.19
228,1979,5369,721,2544,1887,119,98,1.23
229,1980,5315,740,2422,1947,120,86,1.2
230,1981,5152,756,2289,1921,121,64,1.14
231,1982,5113,740,2196,1992,121,64,1.11
232,1983,5094,741,2176,1995,125,58,1.09
233,1984,5280,808,2199,2094,128,51,1.11
234,1985,5439,837,2186,2237,131,49,1.12
235,1986,5607,831,2293,2300,137,46,1.14
236,1987,5752,894,2306,2364,143,44,1.15
237,1988,5965,937,2412,2414,152,50,1.17
238,1989,6097,985,2459,2457,156,41,1.17
239,1990,6127,1019,2492,2419,157,40,1.16
240,1991,6217,1063,2605,2345,161,44,1.16
241,1992,6164,1095,2510,2357,167,35,1.13
242,1993,6162,1129,2523,2298,176,36,1.11
243,1994,6266,1139,2546,2358,186,38,1.11
244,1995,6398,1157,2565,2442,197,36,1.12
245,1996,6542,1209,2624,2469,203,37,1.13
246,1997,6651,1208,2700,2495,209,38,1.13
247,1998,6643,1243,2766,2391,209,35,1.12
248,1999,6610,1270,2737,2352,217,33,1.1
249,2000,6765,1288,2838,2367,226,45,1.11
250,2001,6927,1312,2840,2492,237,46,1.12
251,2002,6996,1344,2831,2521,252,48,1.12
252,2003,7416,1391,2959,2743,276,48,1.17
253,2004,7807,1437,3053,2967,298,53,1.21
254,2005,8093,1480,3076,3157,320,60,1.24
255,2006,8370,1525,3089,3339,356,61,1.27
256,2007,8566,1572,3081,3464,382,68,1.28
257,2008,8783,1631,3122,3571,388,71,1.3
258,2009,8740,1585,3056,3620,413,66,1.28
259,2010,9167,1702,3114,3842,450,59,1.33
