,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
0,2011,1708.4390097744254,3250.8356748120277,3689.0573541353224,432.9105439849627,68.82807330827018
1,2012,1772.8834233969756,3323.94038183082,3847.7192409217823,462.00001528646317,72.48745847744294
2,2013,1837.3761301724662,3397.099871826096,4006.5000252562168,491.11128556490075,76.14958590521746
3,2014,1901.917162282938,3470.3141813046386,4165.399786370806,520.2443693468886,79.81445741900689
4,2015,1966.5065519305354,3543.5833467961056,4324.418603547034,549.3992811681019,83.48207484736395
5,2016,2031.1443313375567,3616.9074048528855,4483.556556116062,578.5760355733182,87.15244001998644
6,2017,2095.830532746404,3690.2863920502714,4642.813723458559,607.7746471163846,90.82555476771404
7,2018,2160.5651884196413,3763.720344986388,4802.190185004816,636.9951303602611,94.50142092253054
8,2019,2225.348330639972,3837.2093002822367,4961.686020234774,666.2374998769883,98.18004031756436
9,2020,2290.179991710291,3910.753294581664,5121.301308677968,695.5017702477235,101.86141478708896
10,2021,2355.0602039536534,3984.3523645514506,5281.036129913671,724.7879560627189,105.54554616652422
11,2022,2419.9889997133287,4058.006546881268,5440.890563570836,754.0960719213617,109.23243629243598
12,2023,2484.966411352769,4131.715878283707,5600.864689328213,783.4261324321415,112.92208700253877
13,2024,2549.992471255653,4205.480395494291,5760.958586914261,812.7781522126897,116.61450013569356
14,2025,2615.0672118259026,4279.300135271507,5921.172336107265,842.1521458897514,120.30967753191089
15,2026,2680.190665487673,4353.175134396777,6081.506016735395,871.5481280992244,124.00762103235047
16,2027,2745.362864685354,4427.105429674528,6241.959708676644,900.9661134861417,127.70833247932251
17,2028,2810.583841883614,4501.091057932164,6402.533491858892,930.4061167046857,131.41181371628727
18,2029,2875.853629567435,4575.132056020069,6563.22744625996,959.8681524181884,135.1180665878569
19,2030,2941.1722602420414,4649.22846081169,6724.04165190761,989.3522352991495,138.82709293979542
20,2031,3006.5397664329575,4723.380309203465,6884.9761888795765,1018.8583800292217,142.53889461902054
21,2032,3071.95618068608,4797.587638114914,7046.031137303711,1048.3866012992366,146.2534734736032
22,2033,3137.4215355675624,4871.850484488576,7207.206577357778,1077.9369138091934,149.97083135276762
23,2034,3202.9358636639445,4946.168885290084,7368.502589269658,1107.5093322682842,153.69097010689393
24,2035,3268.499197582096,5020.542877508153,7529.919253317377,1137.1038713948765,157.4138915875178
25,2036,3334.1115699492584,5094.972498154602,7691.456649829081,1166.7205459165307,161.1395976473309
26,2037,3399.773013413047,5169.457784264348,7853.114859183028,1196.3593705700077,164.86809014018172
27,2038,3465.4835606414636,5243.998772895473,8014.893961807771,1226.02036010128,168.59937092107748
28,2039,3531.2432443229263,5318.595501129181,8176.79403818195,1255.7035292655055,172.33344184618272
29,2040,3597.0520971662263,5393.2480060698,8338.815168834553,1285.4088928270758,176.07030477282115
30,2041,3662.9101519006435,5467.9563248448685,8500.957434344891,1315.1364655595971,179.80996155947696
31,2042,3728.8174412758162,5542.7204946050915,8663.220915342536,1344.8862622458983,183.55241406579444
32,2043,3794.7739980618862,5617.540552524384,8825.60569250735,1374.658297678041,187.29766415257882
33,2044,3860.7798550494554,5692.416535799857,8988.111846569693,1404.4525866573204,191.04571368179813
34,2045,3926.835045049542,5767.348481651847,9150.739458310243,1434.2691439942755,194.79656451658138
35,2046,3992.9396008937547,5842.336427323928,9313.488608560117,1464.1079845086897,198.55021852122218
36,2047,4059.093555434105,5917.380410082958,9476.359378200927,1493.9691230296048,202.30667756117737
37,2048,4125.296941543151,5992.480467219022,9639.351848164806,1523.8525743953178,206.06594350306932
38,2049,4191.549792113969,6067.6366360454995,9802.466099434387,1553.7583534533842,209.82801821468456
39,2050,4257.852140060197,6142.848953899083,9965.702213042794,1583.6864750606364,213.59290356497695
40,2051,4324.204018315977,6218.117458139735,10129.060270073882,1613.6369540831765,217.36060142406632
41,2052,4390.605459836042,6293.442186150773,10292.540351661999,1643.6098053963906,221.13111366323983
42,2053,4457.056497595673,6368.8231753388245,10456.142538992193,1673.6050438849525,224.90444215495336
43,2054,4523.557164590755,6444.26046313392,10619.866913300182,1703.6226844428238,228.68058877283102
