country_name,intthreat_climatechange,count
Argentina,1.0,762
Argentina,2.0,97
Argentina,3.0,91
Australia,1.0,706
Australia,2.0,335
Australia,3.0,97
Brazil,1.0,750
Brazil,3.0,102
Brazil,2.0,92
Canada,1.0,717
Canada,2.0,247
Canada,3.0,85
France,1.0,820
France,2.0,147
France,3.0,34
Germany,1.0,716
Germany,2.0,237
Germany,3.0,42
Greece,1.0,961
Greece,2.0,52
Greece,3.0,33
Hungary,1.0,682
Hungary,2.0,256
Hungary,3.0,55
India,1.0,946
India,2.0,451
India,3.0,141
Indonesia,1.0,640
Indonesia,2.0,222
Indonesia,3.0,122
Israel,2.0,411
Israel,1.0,368
Israel,3.0,184
Italy,1.0,754
Italy,2.0,167
Italy,3.0,88
Japan,1.0,770
Japan,2.0,177
Japan,3.0,48
Kenya,1.0,742
Kenya,2.0,178
Kenya,3.0,94
Mexico,1.0,713
Mexico,2.0,101
Mexico,3.0,52
Netherlands,1.0,738
Netherlands,2.0,205
Netherlands,3.0,56
Nigeria,1.0,407
Nigeria,2.0,278
Nigeria,3.0,214
Philippines,1.0,760
Philippines,2.0,225
Philippines,3.0,169
Poland,1.0,541
Poland,2.0,315
Poland,3.0,93
Russia,1.0,422
Russia,2.0,338
Russia,3.0,173
South Africa,1.0,892
South Africa,2.0,304
South Africa,3.0,220
South Korea,1.0,858
South Korea,2.0,103
South Korea,3.0,37
Spain,1.0,833
Spain,2.0,130
Spain,3.0,37
Sweden,1.0,681
Sweden,2.0,264
Sweden,3.0,37
Tunisia,1.0,649
Tunisia,2.0,182
Tunisia,3.0,154
United Kingdom,1.0,675
United Kingdom,2.0,235
United Kingdom,3.0,67
United States,1.0,852
United States,2.0,348
United States,3.0,271
