id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1318279781352239104,1318279781352239104,2020-10-19 15:56:06 Eastern Daylight Time,2020-10-19,15:56:06,-0400,25560344,joancbaez,Joan Baez,,"Stand with science and medical professionals, and please VOTE! #vote #VoteHimOut #standwithscience #Vote2020 #BlackLivesMatter #ClimateChangeIsReal #WearAMask  https://t.co/EDmLRa3Qpv",en,[],[],['https://pbs.twimg.com/media/Ekt4dXXUUAAZ2Iy.jpg'],210,1004,5853,"['vote', 'votehimout', 'standwithscience', 'vote2020', 'blacklivesmatter', 'climatechangeisreal', 'wearamask']",[],https://twitter.com/joancbaez/status/1318279781352239104,,,1,https://pbs.twimg.com/media/Ekt4dXXUUAAZ2Iy.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1316465911193362434,1316465911193362434,2020-10-14 15:48:26 Eastern Daylight Time,2020-10-14,15:48:26,-0400,245891006,epwdems,Senate EPW Democrats,,Watch as Judge Barrett doubles down on her refusal to acknowledge that #ClimateChangeIsReal.  @SenBlumenthal’s question is absolutely relevant. #SCOTUS will hear a case related to the climate crisis next year.  #SCOTUShearings  https://t.co/wywl0Gy7v1,en,['senblumenthal'],[],[],137,376,883,"['climatechangeisreal', 'scotus', 'scotushearings']",[],https://twitter.com/EPWDems/status/1316465911193362434,,,1,https://pbs.twimg.com/media/EkUAIrEXsAcGBUi.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1316172579103666176,1316172579103666176,2020-10-13 20:22:50 Eastern Daylight Time,2020-10-13,20:22:50,-0400,23304078,twittblaster,Pat Chan-Schatz,,I took a walk in the woods and came out taller than the trees. ~ Henry David Thoreau   https://t.co/1mlcAzpAwa  #Twittblaster #TwittblasterGIF #GIF #Woods #Tree #Nature #NatureLovers #ClimateChangeIsReal,en,[],[],[],12,293,621,"['twittblaster', 'twittblastergif', 'gif', 'woods', 'tree', 'nature', 'naturelovers', 'climatechangeisreal']",[],https://twitter.com/Twittblaster/status/1316172579103666176,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1313773343661793281/pu/img/JL1qItHhHijXzaz4.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1305585232507056128,1305585232507056128,2020-09-14 15:12:30 Eastern Daylight Time,2020-09-14,15:12:30,-0400,2324445042,wadecrowfoot,Wade Crowfoot,,It actually won’t get cooler Mr. President. #ClimateChangeIsReal  https://t.co/gYWtitBdcN,en,[],[],['https://pbs.twimg.com/media/Eh5e1ChVgAA17Ob.jpg'],872,728,2283,['climatechangeisreal'],[],https://twitter.com/WadeCrowfoot/status/1305585232507056128,,,1,https://pbs.twimg.com/media/Eh5e1ChVgAA17Ob.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1304831187752452103,1304831187752452103,2020-09-12 13:16:12 Eastern Daylight Time,2020-09-12,13:16:12,-0400,21447363,katyperry,KATY PERRY,,VOTE like the air you breathe depends on it #climatechangeisreal   Reposted from @orlandobloom &amp; @joshgad  https://t.co/1YatGbq3kK,en,"['orlandobloom', 'joshgad']",['https://www.instagram.com/p/CFC2YlphCUo/?igshid=1hh02oundtdv6'],[],405,1040,10518,['climatechangeisreal'],[],https://twitter.com/katyperry/status/1304831187752452103,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1304531960094584832,1304531960094584832,2020-09-11 17:27:10 Eastern Daylight Time,2020-09-11,17:27:10,-0400,798953701972938752,demwrite,Nick Knudsen 🇺🇸,,What’s left of our family’s place on the McKenzie River.   #ClimateChangeIsReal #OregonIsBurning  https://t.co/hMZgWqPHwq,en,[],[],['https://pbs.twimg.com/media/Ehqg5XJUcAA5khp.jpg'],964,710,2611,"['climatechangeisreal', 'oregonisburning']",[],https://twitter.com/DemWrite/status/1304531960094584832,,,1,https://pbs.twimg.com/media/Ehqg5XJUcAA5khp.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1298946665471188992,1298946665471188992,2020-08-27 07:33:12 Eastern Daylight Time,2020-08-27,07:33:12,-0400,1119575968748847108,fridays4futurep,FridaysForFuture Pakistan ✪,,"CUST University Islamabad is under water. Yes, this is the Capital. Climate Change has shown us our ineffective system. Climate Emergency should be declared now!  #ClimateChangeIsReal  https://t.co/ro7aLIeNax",en,[],[],[],33,763,1889,['climatechangeisreal'],[],https://twitter.com/Fridays4FutureP/status/1298946665471188992,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1298946592704270336/pu/img/FY7w1s-ZNa8Nl8sB.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1297891676392955905,1297891676392955905,2020-08-24 09:41:03 Eastern Daylight Time,2020-08-24,09:41:03,-0400,205085943,hindououmar,Hindou,,"Another flood in my hometown. People are losing lives, shelters and resources. Specially women &amp; children becoming displaced &amp; refugees in them own city😢 #ClimateChangeIsReal we need urgent #ClimateActionNow @UNFCCC @COP26 @RefugeesIntl @GretaThunberg @SDGAdvocates @LicypriyaK  https://t.co/IMAZdGw6Og",en,"['unfccc', 'cop26', 'refugeesintl', 'gretathunberg', 'sdgadvocates', 'licypriyak']",[],[],66,1233,3084,"['climatechangeisreal', 'climateactionnow']",[],https://twitter.com/hindououmar/status/1297891676392955905,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1297891547028099079/pu/img/IwnJ7W9sHw9JNM2r.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1296698566455562240,1296698566455562240,2020-08-21 02:40:04 Eastern Daylight Time,2020-08-21,02:40:04,-0400,1148442735734677504,wakiodorcas,Dorcas Wakio,,Week 36! #schoolstrike4climate from Kenya. let's stop talking and act!Action is better than words. We cannot eat coal! We want a world free from fossil fuels!  @GretaThunberg @fff_digital @Fridays4future #FridaysForFuture #ClimateStrikeOnline #ClimateAction #ClimateChangeIsReal  https://t.co/VgIbgLVcXy,en,"['gretathunberg', 'fff_digital', 'fridays4future']",[],['https://pbs.twimg.com/media/Ef7MbMPWoAEf_DY.jpg'],13,266,1256,"['schoolstrike4climate', 'fridaysforfuture', 'climatestrikeonline', 'climateaction', 'climatechangeisreal']",[],https://twitter.com/WakioDorcas/status/1296698566455562240,,,1,https://pbs.twimg.com/media/Ef7MbMPWoAEf_DY.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1294204007221788672,1294204007221788672,2020-08-14 05:27:35 Eastern Daylight Time,2020-08-14,05:27:35,-0400,1038380333710958592,charlotteauman1,Charlotte Aumann,,"Week 4 of #ClimateStrikeOnline, our world leaders with all their degrees and PhDs they still can't learn from their eyes that's its a nonstop crisis!! #ClimateChangeIsReal #schoolstrike4climate #FridayThoughts #FridaysForFuture #ClimateJustice @GretaThunberg @vanessa_vash  https://t.co/qqiNgAJ6WX",en,"['gretathunberg', 'vanessa_vash']",[],['https://pbs.twimg.com/media/EfXvcftXkAATkvN.jpg'],28,338,1672,"['climatestrikeonline', 'climatechangeisreal', 'schoolstrike4climate', 'fridaythoughts', 'fridaysforfuture', 'climatejustice']",[],https://twitter.com/charlotteauman1/status/1294204007221788672,,,1,https://pbs.twimg.com/media/EfXvcftXkAATkvN.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
