Year,Magnitude_0,Magnitude_2,Tornado_total,alpha,dashLength
1950,16.0,71.0,206.0,1.0,0
1960,128.0,175.0,619.0,1.0,0
1970,164.0,196.0,671.0,1.0,0
1980,267.0,162.0,876.0,1.0,0
1990,537.0,161.0,1151.0,1.0,0
2000,723.0,62.0,1079.0,1.0,0
2010,776.0,129.0,1315.0,1.0,0
2020,1043.0,124.0,1448.0,0.4,8
2030,1172.0,133.0,1551.0,0.4,8
2040,1301.0,142.0,1654.0,0.4,8
2050,1430.0,152.0,1757.0,0.4,8
2060,1559.0,161.0,1860.0,0.4,8
2070,1688.0,171.0,1963.0,0.4,8
2080,1817.0,180.0,2066.0,0.4,8
2090,1946.0,189.0,2169.0,0.4,8
2100,2075.0,199.0,2272.0,0.4,8
2110,2204.0,208.0,2375.0,0.4,8
2120,2333.0,218.0,2478.0,0.4,8
2130,2461.0,227.0,2581.0,0.4,8
2140,2590.0,236.0,2684.0,0.4,8
2150,2719.0,246.0,2787.0,0.4,8
2160,2848.0,255.0,2890.0,0.4,8
2170,2977.0,264.0,2993.0,0.4,8
2180,3106.0,274.0,3096.0,0.4,8
2190,3235.0,283.0,3199.0,0.4,8
2200,3364.0,293.0,3302.0,0.4,8
