INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-11 15:15:00,2.0,2.0,4.0,1.0,2.0,3.0,1.0
2019-10-07 01:01:00,3.0,2.0,2.0,2.0,1.0,6.0,2.0
2019-10-04 01:28:00,2.0,1.0,2.0,2.0,2.0,4.0,2.0
2019-10-04 22:19:00,2.0,1.0,3.0,2.0,1.0,6.0,1.0
2019-10-05 17:33:00,1.0,3.0,3.0,2.0,2.0,4.0,1.0
2019-10-05 11:36:00,1.0,2.0,4.0,1.0,3.0,2.0,1.0
2019-10-09 18:17:00,2.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-04 22:35:59,3.0,3.0,3.0,2.0,2.0,4.0,1.0
2019-10-04 23:51:59,1.0,2.0,2.0,1.0,1.0,6.0,1.0
2019-10-04 19:28:59,3.0,2.0,3.0,1.0,2.0,3.0,1.0
2019-10-05 16:55:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-04 01:34:00,2.0,1.0,4.0,2.0,2.0,4.0,2.0
2019-10-05 19:49:59,3.0,3.0,3.0,1.0,1.0,5.0,2.0
2019-10-07 16:25:00,2.0,1.0,2.0,2.0,3.0,2.0,2.0
2019-10-05 01:42:59,2.0,1.0,4.0,1.0,3.0,2.0,1.0
2019-10-05 03:02:00,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-07 01:44:00,2.0,2.0,3.0,2.0,3.0,2.0,2.0
2019-10-06 12:49:00,2.0,2.0,3.0,1.0,3.0,2.0,1.0
2019-10-07 16:15:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-04 02:24:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-03 21:35:59,1.0,2.0,4.0,2.0,1.0,5.0,1.0
2019-10-05 21:02:00,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-08 10:39:00,2.0,1.0,3.0,2.0,2.0,4.0,2.0
2019-10-03 22:04:59,2.0,1.0,3.0,2.0,1.0,6.0,2.0
2019-10-10 05:11:00,2.0,1.0,4.0,2.0,2.0,3.0,2.0
