mindate,maxdate,name,datacoverage,id
1781-01-01,2020-09-01,Number of days with greater than or equal to 1.0 inch of precipitation,1.0,DP10
1840-05-01,2020-09-01,Number days with snow depth > 1 inch.,1.0,DSNW
1763-01-01,2016-03-01,Number days with maximum temperature greater than or equal 90.0 F,1.0,DT90
1763-01-01,2020-09-01,Number days with maximum temperature > 90 F (32.2C),1.0,DX90
1763-01-01,2020-09-01,Extreme minimum temperature for the period.,1.0,EMNT
1863-12-01,2020-09-01,Extreme maximum snow depth for the period.,1.0,EMSD
1840-05-01,2020-09-01,Extreme maximum snowfall for the period.,1.0,EMSN
1781-01-01,2020-09-01,Extreme maximum precipitation for the period.,1.0,EMXP
1763-01-01,2020-09-01,Extreme maximum temperature for the period.,1.0,EMXT
1781-01-04,2020-10-22,Precipitation,1.0,HPCP
1840-10-24,2020-10-22,Highest snowfall,,HSNW
1763-01-01,2020-10-22,Highest minimum temperature,,HTMN
1763-01-01,2020-10-22,Highest maximum temperature,,HTMX
1763-01-01,2020-10-22,Lowest minimum temperature,,LTMN
1763-01-01,2020-10-22,Lowest maximum temperature,,LTMX
1763-01-01,2016-03-01,Monthly Mean minimum temperature,1.0,MMNT
1763-01-01,2016-03-01,Monthly Mean maximum temperature,1.0,MMXT
1763-01-01,2016-03-01,Monthly mean temperature,1.0,MNTM
1857-01-01,2016-03-01,Maximum snow depth,1.0,MXSD
1781-01-01,2020-10-22,Precipitation,1.0,PRCP
1840-05-01,2020-10-22,Snowfall,1.0,SNOW
1857-01-18,2020-10-22,Snow depth,1.0,SNWD
1763-01-01,2020-10-22,Average Temperature.,1.0,TAVG
1763-01-01,2020-10-22,Maximum temperature,1.0,TMAX
1763-01-01,2020-10-22,Minimum temperature,1.0,TMIN
1781-01-01,2016-03-01,Total precipitation,1.0,TPCP
1840-05-01,2016-03-01,Total snow fall,1.0,TSNW
