date,datatype,station,value,attributes
2020-01-01T00:00:00,CDSD,GHCND:AQW00061705,3522.0,
2020-01-01T00:00:00,CLDD,GHCND:AQW00061705,3522.0,W
2020-01-01T00:00:00,CDSD,GHCND:ASN00001006,4118.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00001006,4118.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00001007,3820.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00001007,3820.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00001019,3576.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00001019,3576.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00001020,3564.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00001020,3564.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00002056,3617.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00002056,3617.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00002064,3953.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00002064,3953.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00003003,3400.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00003003,3400.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00003032,3764.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00003032,3764.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00003080,3826.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00003080,3826.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00004019,3463.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00004019,3463.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00004032,3483.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00004032,3483.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00004083,3527.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00004083,3527.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00004106,3735.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00004106,3735.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00005007,2780.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00005007,2780.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00005017,3294.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00005017,3294.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00005084,3093.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00005084,3093.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00005094,2994.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00005094,2994.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00006105,1894.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00006105,1894.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00007045,2426.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00007045,2426.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00007176,2868.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00007176,2868.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00007185,3217.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00007185,3217.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00007600,2102.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00007600,2102.6, 
2020-01-01T00:00:00,CDSD,GHCND:ASN00008095,1756.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008095,1756.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00008137,1206.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008137,1206.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00008251,1417.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008251,1417.2, 
2020-01-01T00:00:00,CDSD,GHCND:ASN00008290,1392.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008290,1392.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00008296,1662.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008296,1662.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00008297,1289.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00008297,1289.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009021,1071.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009021,1071.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009037,1217.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009037,1217.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009053,1163.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009053,1163.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009114,815.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009114,815.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009172,970.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009172,970.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009178,996.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009178,996.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009193,813.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009193,813.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009215,945.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009215,945.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009225,1034.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009225,1034.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009240,716.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009240,716.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009256,844.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009256,844.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009518,359.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009518,359.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009519,510.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009519,510.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009538,651.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009538,651.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009542,568.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009542,568.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009603,575.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009603,575.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009617,452.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009617,452.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009746,363.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009746,363.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009961,364.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009961,364.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009964,384.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009964,384.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009968,324.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009968,324.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009977,941.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009977,941.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009994,576.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009994,576.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00009998,246.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00009998,246.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010092,1282.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010092,1282.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010286,1155.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010286,1155.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010524,896.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010524,896.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010905,468.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010905,468.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010911,773.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010911,773.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010916,548.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010916,548.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00010917,704.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00010917,704.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00011003,661.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00011003,661.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00011019,663.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00011019,663.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00011052,1114.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00011052,1114.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00011053,515.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00011053,515.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012009,1013.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012009,1013.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012038,1414.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012038,1414.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012044,587.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012044,587.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012071,706.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012071,706.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012305,2005.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012305,2005.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012314,2095.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012314,2095.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00012320,1248.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00012320,1248.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00013011,2638.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00013011,2638.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00013017,2589.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00013017,2589.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00013030,3722.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00013030,3722.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014015,3648.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014015,3648.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014041,3391.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014041,3391.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014142,3305.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014142,3305.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014198,3918.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014198,3918.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014272,3397.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014272,3397.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014274,3453.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014274,3453.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014401,3525.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014401,3525.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014404,3462.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014404,3462.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014405,3317.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014405,3317.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014518,3014.3,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014518,3014.3,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014626,3205.5,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014626,3205.5,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014703,3503.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014703,3503.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014704,3427.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014704,3427.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014829,3293.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014829,3293.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014901,3360.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014901,3360.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014909,3051.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014909,3051.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014932,3551.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014932,3551.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014948,3483.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014948,3483.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014949,3485.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014949,3485.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00014954,4077.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00014954,4077.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00015131,3284.2,
2020-01-01T00:00:00,CLDD,GHCND:ASN00015131,3284.2,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00015135,3242.7,
