mindate,maxdate,name,datacoverage,id
1763-01-01,2020-09-01,Cooling Degree Days Season to Date,1.0,CDSD
1763-01-01,2020-09-01,Cooling Degree Days,1.0,CLDD
1832-05-11,2020-10-22,Number of days included in the multiday precipitation total (MDPR),1.0,DAPR
1863-05-04,2020-10-22,Number of days included in the multiday minimum temperature (MDTN),1.0,DATN
1863-05-04,2020-10-21,Number of days included in the multiday maximum temperature (MDTX),1.0,DATX
1781-01-01,2020-09-01,Number of days with greater than or equal to 0.1 inch of precipitation,1.0,DP01
1781-01-01,2016-03-01,Number of days with greater than or equal to 0.5 inch of precipitation,1.0,DP05
1781-01-01,2020-09-01,Number of days with greater than or equal to 1.0 inch of precipitation,1.0,DP10
1863-12-01,2020-09-01,Number days with snow depth > 1 inch(25.4mm) for the period.,1.0,DSND
1840-05-01,2020-09-01,Number days with snow depth > 1 inch.,1.0,DSNW
1763-01-01,2020-09-01,Number days with minimum temperature less than or equal to 0.0 F,1.0,DT00
1763-01-01,2020-09-01,Number days with minimum temperature less than or equal to 32.0 F,1.0,DT32
1763-01-01,2016-03-01,Number days with maximum temperature greater than or equal 90.0 F,1.0,DT90
1832-05-11,2020-10-22,Number of days with non-zero precipitation included in multiday precipitation total (MDPR),1.0,DWPR
1763-01-01,2020-09-01,Number days with maximum temperature < 32 F.,1.0,DX32
1763-01-01,2020-09-01,Number days with maximum temperature > 70 F (21.1C),1.0,DX70
1763-01-01,2020-09-01,Number days with maximum temperature > 90 F (32.2C),1.0,DX90
1763-01-01,2020-09-01,Day Extreme minimum temperature occurred for the period.,1.0,DYNT
1863-12-01,2020-09-01,Day the extreme maximum daily Snow Depth for the period occurred.,1.0,DYSD
1840-05-01,2020-09-01,Day the extreme maximum daily snowfall for the period occurred.,1.0,DYSN
1781-01-01,2020-09-01,Day Extreme maximum daily precipitation for the period.,1.0,DYXP
1763-01-01,2020-09-01,Date Extreme maximum temperature occurred for the period.,1.0,DYXT
1763-01-01,2020-09-01,Extreme minimum temperature for the period.,1.0,EMNT
1863-12-01,2020-09-01,Extreme maximum snow depth for the period.,1.0,EMSD
1840-05-01,2020-09-01,Extreme maximum snowfall for the period.,1.0,EMSN
1781-01-01,2020-09-01,Extreme maximum precipitation for the period.,1.0,EMXP
1763-01-01,2020-09-01,Extreme maximum temperature for the period.,1.0,EMXT
1763-01-01,2019-01-01,First freeze <= to 32F/0C of the year.,1.0,FZF0
1765-01-01,2019-01-01,First freeze <= 28F/-2.2C of the year,1.0,FZF1
1767-01-01,2019-01-01,First freeze <= 24F/-4.4C of the year,1.0,FZF2
1774-01-01,2019-01-01,First freeze <= 20F/-6.7C of the year,1.0,FZF3
1774-01-01,2019-01-01,First freeze <= 16F/-8.9C of the year,1.0,FZF4
1763-01-01,2019-01-01,Last freeze <= 32F/0C of the year,1.0,FZF5
1763-01-01,2019-01-01,Last freeze <= 28F/-2.2C of the year,1.0,FZF6
1763-01-01,2019-01-01,Last freeze <= 24F/-4.4C of the year,1.0,FZF7
1766-01-01,2019-01-01,Last freeze <= 20F/-6.7C of the year,1.0,FZF8
1767-01-01,2019-01-01,Last freeze <= 16F/-8.9C of the year,1.0,FZF9
1763-07-01,2020-09-01,Heating Degree Days Season to Date,1.0,HDSD
1781-01-04,2020-10-22,Precipitation,1.0,HPCP
1840-10-24,2020-10-22,Highest snowfall,,HSNW
1763-01-01,2020-09-01,Heating degree days,1.0,HTDD
1763-01-01,2020-10-22,Highest minimum temperature,,HTMN
1763-01-01,2020-10-22,Highest maximum temperature,,HTMX
1763-01-01,2020-10-22,Lowest minimum temperature,,LTMN
1763-01-01,2020-10-22,Lowest maximum temperature,,LTMX
1832-05-11,2020-10-22,"Multiday precipitation total (use with DAPR and DWPR, if available)",1.0,MDPR
1859-12-29,2020-02-10,Multiday snowfall total ,1.0,MDSF
1863-05-04,2020-10-22,Multiday minimum temperature (use with DATN),1.0,MDTN
1863-05-04,2020-10-21,Multiday maximum temperature (use with DATX),1.0,MDTX
1763-01-01,2016-03-01,Monthly Mean minimum temperature,1.0,MMNT
1763-01-01,2016-03-01,Monthly Mean maximum temperature,1.0,MMXT
1763-01-01,2016-03-01,Monthly mean temperature,1.0,MNTM
1857-01-01,2016-03-01,Maximum snow depth,1.0,MXSD
1781-01-01,2020-10-22,Precipitation,1.0,PRCP
1840-05-01,2020-10-22,Snowfall,1.0,SNOW
1857-01-18,2020-10-22,Snow depth,1.0,SNWD
1763-01-01,2020-10-22,Average Temperature.,1.0,TAVG
1763-01-01,2020-10-22,Maximum temperature,1.0,TMAX
1763-01-01,2020-10-22,Minimum temperature,1.0,TMIN
1876-11-27,2020-10-22,Temperature at the time of observation,1.0,TOBS
1781-01-01,2016-03-01,Total precipitation,1.0,TPCP
1840-05-01,2016-03-01,Total snow fall,1.0,TSNW
1859-10-01,2020-09-30,Total wind movement,1.0,WDMV
1851-05-19,2020-10-20,"Fog, ice fog, or freezing fog (may include heavy fog)",1.0,WT01
1851-04-02,2020-10-20,Thunder,1.0,WT03
1852-02-20,2020-10-20,"Ice pellets, sleet, snow pellets, or small hail"" ",1.0,WT04
1851-04-13,2020-10-18,Hail (may include small hail),1.0,WT05
1851-04-11,2020-10-20,Smoke or haze ,1.0,WT08
1852-02-12,2020-10-16,Blowing or drifting snow,1.0,WT09
1851-04-03,2020-09-30,High or damaging winds,1.0,WT11
1851-09-06,2018-06-19,Drizzle,1.0,WT14
1851-04-01,2019-07-30,"Rain (may include freezing rain, drizzle, and freezing drizzle)"" ",1.0,WT16
1851-04-13,2019-04-13,"Snow, snow pellets, snow grains, or ice crystals",1.0,WT18
