elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
222.0,1879-01-01,2020-10-19,36.72,"TIZI OUZOU, AG",0.5094,GHCND:AGE00147708,METERS,4.05
83.0,1878-01-01,2020-10-19,35.1,"NEMOURS GHAZAOUET, AG",0.5214,GHCND:AGE00147716,METERS,-1.85
125.0,1880-01-01,2020-10-20,34.85,"BISKRA, AG",0.7064,GHCND:AGE00147718,METERS,5.72
3.0,1877-01-01,2020-10-22,-28.7769,"GERALDTON TOWN, AS",0.7429,GHCND:ASN00008050,METERS,114.605
3.0,1877-02-01,2020-10-22,-35.0289,"ALBANY, AS",0.9816,GHCND:ASN00009500,METERS,117.8808
4.0,1877-01-01,2020-10-16,-33.6611,"BUSSELTON SHIRE, AS",0.8844,GHCND:ASN00009515,METERS,115.3456
12.0,1877-01-01,2012-11-30,-32.6272,"PINJARRA, AS",0.8661,GHCND:ASN00009596,METERS,115.8747
170.0,1877-01-01,2020-10-22,-31.6508,"NORTHAM, AS",0.9816,GHCND:ASN00010111,METERS,116.6586
140.0,1877-01-01,2019-11-01,-31.5453,"TOODYAY, AS",0.8833,GHCND:ASN00010125,METERS,116.4594
93.1,1878-01-01,2020-10-22,-31.6797,"EUCLA, AS",0.7505,GHCND:ASN00011003,METERS,128.8792
211.8,1873-07-01,2013-03-31,-16.253,"DALY WATERS, AS",0.8104,GHCND:ASN00014618,METERS,133.37
106.9,1873-07-01,2020-10-15,-14.4589,"KATHERINE COUNCIL, AS",0.868,GHCND:ASN00014902,METERS,132.2572
189.0,1874-05-01,2019-04-30,-13.8241,"PINE CREEK, AS",0.8244,GHCND:ASN00014933,METERS,131.8372
510.5,1874-08-01,2016-09-30,-21.5317,"BARROW CREEK, AS",0.8818,GHCND:ASN00015525,METERS,133.8901
134.0,1879-12-01,2020-08-07,-31.6611,"WOOMERA OAKDEN HILLS, AS",0.9422,GHCND:ASN00016033,METERS,137.0382
260.0,1877-11-01,2020-10-17,-32.3792,"YARDEA, AS",0.9573,GHCND:ASN00016055,METERS,135.5247
230.0,1872-03-01,2015-04-17,-30.8246,"BELTANA STATION, AS",0.6763,GHCND:ASN00017012,METERS,138.3822
615.7,1874-02-01,2020-10-18,-31.0939,"BLINMAN, AS",0.932,GHCND:ASN00017014,METERS,138.6786
91.0,1879-12-01,2020-10-09,-30.066,"MARREE FARINA, AS",0.8456,GHCND:ASN00017024,METERS,138.2739
74.0,1874-02-01,2010-02-28,-28.9062,"WILLIAM CREEK, AS",0.4383,GHCND:ASN00017053,METERS,136.3386
255.0,1875-11-01,2020-08-31,-31.1278,"BLINMAN WIRREALPA, AS",0.9356,GHCND:ASN00017054,METERS,138.9618
135.0,1877-11-01,2020-08-31,-30.4132,"GAMMON RANGES WOOLTANA, AS",0.8301,GHCND:ASN00017056,METERS,139.4198
75.0,1878-01-01,2020-10-22,-34.3853,"COULTA, AS",0.8786,GHCND:ASN00018019,METERS,135.4697
8.0,1877-11-01,2019-06-30,-33.9534,"SHERINGA LAKE HAMILTON, AS",0.8729,GHCND:ASN00018045,METERS,135.2682
13.0,1878-01-01,2020-10-22,-32.7963,"STREAKY BAY, AS",0.985,GHCND:ASN00018079,METERS,134.2116
45.0,1876-12-01,2020-08-31,-34.2617,"TUMBY BAY WARRATTA VALE, AS",0.9626,GHCND:ASN00018091,METERS,136.2092
428.0,1878-01-01,2020-09-09,-32.8247,"ORROROO BLACK ROCK, AS",0.9542,GHCND:ASN00019005,METERS,138.6907
495.0,1868-02-01,2020-09-30,-31.8777,"HAWKER HOLOWILENA, AS",0.9112,GHCND:ASN00019018,METERS,138.8372
386.0,1862-12-01,2020-10-08,-32.8294,"MELROSE, AS",0.9753,GHCND:ASN00019024,METERS,138.1907
428.0,1868-02-01,2020-10-21,-32.7335,"ORROROO, AS",0.9332,GHCND:ASN00019032,METERS,138.6135
490.0,1872-02-01,2020-08-31,-31.775,"HAWKER WARCOWIE, AS",0.8968,GHCND:ASN00019046,METERS,138.6529
330.0,1879-01-01,2020-10-21,-32.6521,"WILMINGTON, AS",0.9919,GHCND:ASN00019048,METERS,138.1003
330.0,1878-01-01,2020-10-17,-33.0338,"WIRRABARA, AS",0.9699,GHCND:ASN00019052,METERS,138.2686
380.0,1879-01-01,2020-10-08,-33.0856,"WIRRABARA FOREST, AS",0.9563,GHCND:ASN00019053,METERS,138.2211
270.0,1878-01-01,2013-12-10,-33.7321,"BRINKWORTH ANAMA PARK, AS",0.9742,GHCND:ASN00021000,METERS,138.4922
310.0,1865-01-01,2020-10-19,-34.026,"AUBURN, AS",0.8732,GHCND:ASN00021001,METERS,138.6846
368.0,1860-01-01,2020-10-09,-33.7459,"BRINKWORTH BUNGAREE, AS",0.9406,GHCND:ASN00021010,METERS,138.5628
382.0,1878-01-01,2020-10-19,-33.1851,"CALTOWIE, AS",0.9539,GHCND:ASN00021013,METERS,138.4968
103.0,1879-01-01,2020-08-31,-33.7045,"SNOWTOWN CONDOWIE, AS",0.7739,GHCND:ASN00021015,METERS,138.2927
273.0,1874-02-01,2020-10-17,-33.359,"GEORGETOWN, AS",0.9401,GHCND:ASN00021020,METERS,138.393
226.0,1878-01-01,2020-09-30,-33.2705,"GLADSTONE, AS",0.9626,GHCND:ASN00021021,METERS,138.357
455.0,1878-01-01,2020-10-08,-33.2036,"JAMESTOWN, AS",0.9773,GHCND:ASN00021027,METERS,138.6059
248.0,1876-01-01,2020-10-21,-33.1851,"LAURA, AS",0.9479,GHCND:ASN00021031,METERS,138.3001
4.0,1878-01-01,2012-08-31,-33.1708,"PORT PIRIE NYRSTAR COMPARISON, AS",0.9669,GHCND:ASN00021043,METERS,138.0104
4.0,1874-02-01,2020-10-17,-34.1848,"PORT WAKEFIELD, AS",0.9626,GHCND:ASN00021044,METERS,138.1478
518.0,1878-01-01,2020-05-31,-33.2296,"WHYTE YARCOWIE, AS",0.95,GHCND:ASN00021055,METERS,138.8844
185.0,1879-01-01,2020-10-22,-34.3745,"MAITLAND, AS",0.9636,GHCND:ASN00022008,METERS,137.6733
20.0,1873-11-01,2020-10-19,-34.0672,"MOONTA, AS",0.9552,GHCND:ASN00022011,METERS,137.5925
10.0,1879-01-01,2020-10-17,-34.4951,"PORT VICTORIA, AS",0.9318,GHCND:ASN00022013,METERS,137.4836
5.0,1879-01-01,2020-10-19,-34.9122,"STANSBURY, AS",0.9612,GHCND:ASN00022017,METERS,137.7977
53.0,1861-01-01,2020-10-22,-34.9906,"WAROOKA, AS",0.992,GHCND:ASN00022018,METERS,137.3995
10.0,1864-03-01,2020-10-17,-33.9323,"WALLAROO, AS",0.9302,GHCND:ASN00022020,METERS,137.6282
118.0,1869-12-01,2020-10-17,-34.1447,"PORT CLINTON YARAROO, AS",0.9406,GHCND:ASN00022022,METERS,138.0146
20.0,1878-01-01,2020-10-16,-35.6569,"KINGSCOTE, AS",0.8809,GHCND:ASN00022807,METERS,137.6364
